Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,1,1,0/0/30
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,2,1,11/0/19
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,3,1,0/0/30
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,4,1,17/0/13
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,5,1,20/0/10
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,6,1,20/0/10
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,7,1,13/0/17
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,8,1,13/0/17
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,9,1,4/0/26
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,10,1,3/0/27
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,11,1,14/0/16
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,12,1,17/0/13
HBA,HBA_BASE,HBA_BASE,PARENT,1,1,22/0/8
HBA,HBA_BASE,HBA_BASE,PARENT,2,1,13/0/17
HBA,HBA_BASE,HBA_BASE,PARENT,3,1,0/0/30
HBA,HBA_BASE,HBA_BASE,PARENT,4,1,2/0/28
HBA,HBA_BASE,HBA_BASE,PARENT,5,1,6/0/24
HBA,HBA_BASE,HBA_BASE,PARENT,6,1,0/0/30
HBA,HBA_BASE,HBA_BASE,PARENT,7,1,3/0/27
HBA,HBA_BASE,HBA_BASE,PARENT,8,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,9,1,5/0/25
HBA,HBA_BASE,HBA_BASE,PARENT,10,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,11,1,26/0/4
HBA,HBA_BASE,HBA_BASE,PARENT,12,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,1,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,2,1,11/0/19
MPA,MPA_BASE,MPA_BASE,PARENT,3,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,4,1,12/0/18
MPA,MPA_BASE,MPA_BASE,PARENT,5,1,18/0/12
MPA,MPA_BASE,MPA_BASE,PARENT,6,1,19/0/11
MPA,MPA_BASE,MPA_BASE,PARENT,7,1,20/0/10
MPA,MPA_BASE,MPA_BASE,PARENT,8,1,13/0/17
MPA,MPA_BASE,MPA_BASE,PARENT,9,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,10,1,3/0/27
MPA,MPA_BASE,MPA_BASE,PARENT,11,1,4/0/26
MPA,MPA_BASE,MPA_BASE,PARENT,12,1,15/0/15
EODE,EODE_BASE,EODE_BASE,EXTERNAL,1,1,30/0/0
EODE,EODE_BASE,EODE_BASE,EXTERNAL,2,1,16/0/14
EODE,EODE_BASE,EODE_BASE,EXTERNAL,3,1,12/0/18
EODE,EODE_BASE,EODE_BASE,EXTERNAL,4,1,22/0/8
EODE,EODE_BASE,EODE_BASE,EXTERNAL,5,1,30/0/0
EODE,EODE_BASE,EODE_BASE,EXTERNAL,6,1,0/0/30
EODE,EODE_BASE,EODE_BASE,EXTERNAL,7,1,11/0/19
EODE,EODE_BASE,EODE_BASE,EXTERNAL,8,1,2/0/28
EODE,EODE_BASE,EODE_BASE,EXTERNAL,9,1,28/2/0
EODE,EODE_BASE,EODE_BASE,EXTERNAL,10,1,8/0/22
EODE,EODE_BASE,EODE_BASE,EXTERNAL,11,1,22/0/8
EODE,EODE_BASE,EODE_BASE,EXTERNAL,12,1,10/0/20
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,1,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,2,1,1/0/29
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,3,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,4,1,1/0/29
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,5,1,3/0/27
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,6,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,7,1,2/0/28
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,8,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,9,1,16/0/14
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,10,1,1/0/29
