Domain,Instance,Anchor,Competitor,NPairs,WinsAnchor,Ties,LossesAnchor,MeanAnchor,MeanCompetitor,MedianAnchor,MedianCompetitor,RawP,HolmDomainP,RejectHolmDomain
CEC2022_EXTERNAL,1,B-C1,MPHB,30,30,0,0,3.61453029048183e-07,0.000386888080493009,3.16021498747431e-07,0.000241660341771421,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,2,B-C1,MPHB,30,19,0,11,27.5181626454037,30.4342990119146,44.8954693179499,44.8954754337278,0.308614850526018,1,0
CEC2022_EXTERNAL,3,B-C1,MPHB,30,30,0,0,1.80345173551662e-05,0.0429515675437225,8.51785267741434e-06,0.00639936849296418,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,4,B-C1,MPHB,30,13,0,17,37.3487349084986,35.9843000093524,36.3159538538671,35.8184936663317,0.440521591149205,1,0
CEC2022_EXTERNAL,5,B-C1,MPHB,30,10,0,20,30.3138723561653,20.9585906256161,18.1442754256342,10.9147571580125,0.177907383303841,1,0
CEC2022_EXTERNAL,6,B-C1,MPHB,30,10,0,20,22.6350517563065,16.3544531195224,16.6276616650062,14.0581618130366,0.177907383303841,1,0
CEC2022_EXTERNAL,7,B-C1,MPHB,30,17,0,13,29.4504370424345,28.8072746916088,26.9371290662578,28.7237535084063,0.942610512457651,1,0
CEC2022_EXTERNAL,8,B-C1,MPHB,30,17,0,13,20.5639529311375,21.1422179967313,21.0310980090588,21.1306653583379,0.452806504669196,1,0
CEC2022_EXTERNAL,9,B-C1,MPHB,30,25,4,1,180.781271679722,180.781274092326,180.781271677756,180.781272603729,9.33859617104905e-06,0.000541638577920845,1
CEC2022_EXTERNAL,10,B-C1,MPHB,30,27,0,3,51.5379839318475,100.544846932225,10.2406622327549,100.553431455954,0.000105695034984313,0.00454488650432547,1
CEC2022_EXTERNAL,11,B-C1,MPHB,30,16,0,14,300.000000476065,280.013268552396,300.000000120047,300.000000285238,0.942610512457651,1,0
CEC2022_EXTERNAL,12,B-C1,MPHB,30,13,0,17,240.990054590881,239.066167339007,239.468876423058,239.332783776393,0.39333437219928,1,0
CEC2022_EXTERNAL,1,B-C1,HBA,30,8,0,22,3.61453029048183e-07,3.54829997888827e-05,3.16021498747431e-07,2.02434478069335e-08,0.165026565624696,1,0
CEC2022_EXTERNAL,2,B-C1,HBA,30,17,0,13,27.5181626454037,37.6057159213723,44.8954693179499,49.0844789794889,0.110925665125531,1,0
CEC2022_EXTERNAL,3,B-C1,HBA,30,30,0,0,1.80345173551662e-05,1.38540416269344,8.51785267741434e-06,0.409644844255468,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,4,B-C1,HBA,30,28,0,2,37.3487349084986,56.4118008481341,36.3159538538671,55.7175658650893,1.63944630167799e-05,0.000885301002906117,1
CEC2022_EXTERNAL,5,B-C1,HBA,30,24,0,6,30.3138723561653,229.078237522283,18.1442754256342,120.97864343322,7.51366225494482e-05,0.00345628463727462,1
CEC2022_EXTERNAL,6,B-C1,HBA,30,30,0,0,22.6350517563065,7518.28376055358,16.6276616650062,4215.73210029379,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,7,B-C1,HBA,30,27,0,3,29.4504370424345,53.6397054864424,26.9371290662578,48.5558474124911,5.75165326940185e-06,0.000350850849433513,1
CEC2022_EXTERNAL,8,B-C1,HBA,30,29,0,1,20.5639529311375,42.6388886286822,21.0310980090588,23.052991956324,1.92092110490315e-06,0.000187314943858623,1
CEC2022_EXTERNAL,9,B-C1,HBA,30,25,5,0,180.781271679722,180.827196743101,180.781271677756,180.803683301505,1.225693602162e-05,0.000686388417210718,1
CEC2022_EXTERNAL,10,B-C1,HBA,30,29,0,1,51.5379839318475,1292.92856737438,10.2406622327549,994.989841678736,1.92092110490315e-06,0.000187314943858623,1
CEC2022_EXTERNAL,11,B-C1,HBA,30,4,0,26,300.000000476065,351.281080718994,300.000000120047,300.000000000009,0.0117481063483029,0.411183722190602,0
CEC2022_EXTERNAL,12,B-C1,HBA,30,30,0,0,240.990054590881,395.388792840131,239.468876423058,383.676365812186,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,1,B-C1,MPA,30,30,0,0,3.61453029048183e-07,9.62237509024059e-05,3.16021498747431e-07,3.51254603003781e-05,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,2,B-C1,MPA,30,19,0,11,27.5181626454037,33.2930230392209,44.8954693179499,49.0844789955104,0.198610209945546,1,0
CEC2022_EXTERNAL,3,B-C1,MPA,30,30,0,0,1.80345173551662e-05,0.0121202934500957,8.51785267741434e-06,0.00630037333240807,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,4,B-C1,MPA,30,18,0,12,37.3487349084986,38.4215235694487,36.3159538538671,36.8134196807098,0.503832968878141,1,0
CEC2022_EXTERNAL,5,B-C1,MPA,30,12,0,18,30.3138723561653,30.8896656715956,18.1442754256342,16.6091060375369,0.643516594816578,1,0
CEC2022_EXTERNAL,6,B-C1,MPA,30,11,0,19,22.6350517563065,15.8836903573464,16.6276616650062,13.20262272137,0.0936755965319305,1,0
CEC2022_EXTERNAL,7,B-C1,MPA,30,10,0,20,29.4504370424345,24.4966728927155,26.9371290662578,24.31239913952,0.0316033816420552,0.97970483090371,0
CEC2022_EXTERNAL,8,B-C1,MPA,30,17,0,13,20.5639529311375,20.4881326238439,21.0310980090588,21.1055038708987,0.861212519735838,1,0
CEC2022_EXTERNAL,9,B-C1,MPA,30,30,0,0,180.781271679722,180.781272290244,180.781271677756,180.781271858664,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,10,B-C1,MPA,30,27,0,3,51.5379839318475,108.776975040032,10.2406622327549,100.52217928645,8.1877534396493e-05,0.00368448904784219,1
CEC2022_EXTERNAL,11,B-C1,MPA,30,26,0,4,300.000000476065,316.677788888354,300.000000120047,400.000605243024,0.0147954242477452,0.503044424423335,0
CEC2022_EXTERNAL,12,B-C1,MPA,30,15,0,15,240.990054590881,240.05592887444,239.468876423058,239.551443589929,0.909930768158735,1,0
CEC2022_EXTERNAL,1,B-C1,EODE,30,0,0,30,3.61453029048183e-07,3.88752141589066e-11,3.16021498747431e-07,0,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,2,B-C1,EODE,30,14,0,16,27.5181626454037,40.9084488528373,44.8954693179499,49.0844789794812,0.0822064659509928,1,0
CEC2022_EXTERNAL,3,B-C1,EODE,30,18,0,12,1.80345173551662e-05,0.00747333334184076,8.51785267741434e-06,2.09359520226826e-05,0.0256371240306576,0.820387968981045,0
CEC2022_EXTERNAL,4,B-C1,EODE,30,8,0,22,37.3487349084986,27.0363718792131,36.3159538538671,26.7599548878009,0.00148392763129518,0.0549053223579217,0
CEC2022_EXTERNAL,5,B-C1,EODE,30,0,0,30,30.3138723561653,0.276652924247946,18.1442754256342,0,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,6,B-C1,EODE,30,30,0,0,22.6350517563065,5101.83880395697,16.6276616650062,1715.47964164462,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,7,B-C1,EODE,30,19,0,11,29.4504370424345,36.4600747060459,26.9371290662578,33.3631524313372,0.0719033300839095,1,0
CEC2022_EXTERNAL,8,B-C1,EODE,30,28,0,2,20.5639529311375,23.4190136129742,21.0310980090588,23.6490115766957,3.72426472794565e-05,0.00182488971669337,1
CEC2022_EXTERNAL,9,B-C1,EODE,30,0,25,5,180.781271679722,180.781271677747,180.781271677756,180.781271677747,0.0431144467830754,1,0
CEC2022_EXTERNAL,10,B-C1,EODE,30,22,0,8,51.5379839318475,354.19354774455,10.2406622327549,100.333141053326,0.00033172583107638,0.0136007590741316,1
CEC2022_EXTERNAL,11,B-C1,EODE,30,8,0,22,300.000000476065,326.666666666667,300.000000120047,300,0.477947438552723,1,0
CEC2022_EXTERNAL,12,B-C1,EODE,30,20,0,10,240.990054590881,242.501119875207,239.468876423058,241.413460420741,0.110925665125531,1,0
CEC2022_EXTERNAL,1,B-C1,RLTLBO,30,30,0,0,3.61453029048183e-07,0.490580102607151,3.16021498747431e-07,0.0620126650198642,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,2,B-C1,RLTLBO,30,29,0,1,27.5181626454037,66.8810030813254,44.8954693179499,66.8301356212062,3.18167941096986e-06,0.000209990841124011,1
CEC2022_EXTERNAL,3,B-C1,RLTLBO,30,30,0,0,1.80345173551662e-05,7.58563603697709,8.51785267741434e-06,6.26906802768002,1.73439762832058e-06,0.000187314943858623,1
CEC2022_EXTERNAL,4,B-C1,RLTLBO,30,29,0,1,37.3487349084986,76.4292752721664,36.3159538538671,82.7076801552286,1.92092110490315e-06,0.000187314943858623,1
