Alias,Algorithm,Family,Role,CFG_ID,FAD_Mode,K,Ni,gamma,w_best,rho_sub,T,EstimatedFEs
B-C1,MPHBS_SARSA_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,C1,BEFORE,7,3,0.3,0.05,0.25,1738,199930
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,C1,BEFORE,7,3,0.3,0.05,0.25,1378,199870
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,C2,BEFORE,7,3,0.3,0.025,0.25,1738,199930
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,C2,BEFORE,7,3,0.3,0.025,0.25,1378,199870
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,C3,BEFORE,7,3,0.2,0.05,0.25,1738,199930
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,C3,BEFORE,7,3,0.2,0.05,0.25,1378,199870
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,C4,BEFORE,7,3,0.3,0.05,0.3,1694,199952
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,C4,BEFORE,7,3,0.3,0.05,0.3,1350,199860
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,C1,AFTER,7,3,0.3,0.05,0.25,1738,199930
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,C1,AFTER,7,3,0.3,0.05,0.25,1378,199870
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,C2,AFTER,7,3,0.3,0.025,0.25,1738,199930
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,C2,AFTER,7,3,0.3,0.025,0.25,1378,199870
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,C3,AFTER,7,3,0.2,0.05,0.25,1738,199930
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,C3,AFTER,7,3,0.2,0.05,0.25,1378,199870
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,C4,AFTER,7,3,0.3,0.05,0.3,1694,199952
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,C4,AFTER,7,3,0.3,0.05,0.3,1350,199860
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,BASE,BASE,NaN,NaN,NaN,NaN,NaN,2221,199950
