Alias,Algorithm,Family,Role,GlobalMeanRaw,GlobalMeanError,GlobalStdError,GlobalMedianError,GlobalMeanTimeSec,GlobalMeanEstFEs,SuccessRatePct,ValidPct,CompletedPct,MeanRankRunFunc,FriedmanMeanRank,AvgRankByMean
B-C1,MPHBS_SARSA_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,1661.76162839287,78.428295059536,101.850702985187,26.2313487802085,1.98455743113426,199930,0,100,100,5.85694444444444,5.85694444444444,3.16666666666667
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,1663.62575578059,80.2924224472558,101.604386007322,29.7262384233671,1.98474008761574,199930,0,100,100,5.99305555555556,5.99305555555556,3.91666666666667
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,1666.54185742657,83.2085240932383,102.251663076462,32.0917225418561,1.99247173634259,199930,0,100,100,6.06666666666667,6.06666666666667,4.66666666666667
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,1668.77411997449,85.4407866411537,104.033586001103,34.6515333555601,2.13507123564815,199952,0,100,100,6.18333333333333,6.18333333333333,4.33333333333333
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,1662.84416923553,79.5108359021936,100.774710012826,30.3245046445743,0.49042516724537,199950,0,100,100,7.3625,7.3625,5.08333333333333
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,1726.1483748053,142.815041471964,180.405791734315,63.4955651060985,1.96285328819444,199930,8.05555555555556,100,100,9.71527777777778,9.71527777777778,10.0833333333333
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,1704.28333181448,120.949998481146,129.912499381188,57.0015645866306,0.788731176851852,199870,7.5,100,100,9.78472222222222,9.78472222222222,9.75
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,1709.53900050169,126.205667168353,146.124036772004,52.8630723348053,0.789147163425926,199870,7.5,100,100,9.80555555555556,9.80555555555556,10.3333333333333
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,1725.93091373223,142.597580398893,180.578006334136,63.2838181620452,1.96401692893518,199930,8.05555555555556,100,100,9.8625,9.8625,10.3333333333333
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,1719.66564814539,136.332314812059,163.179979238995,58.1164844410073,1.97141923761574,199930,8.05555555555556,100,100,9.94583333333333,9.94583333333333,11.1666666666667
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,1709.48373456336,126.150401230024,136.86106114797,54.7226270962203,0.786860150925926,199870,8.05555555555556,100,100,10.0777777777778,10.0777777777778,11
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,1709.48373456336,126.150401230024,136.86106114797,54.7226270962203,0.786901480324074,199870,8.05555555555556,100,100,10.0777777777778,10.0777777777778,11
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,1717.11564214098,133.78230880765,159.756049247884,55.9942462963647,0.787206275,199870,7.5,100,100,10.3680555555556,10.3680555555556,11.75
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,1717.11564214098,133.78230880765,159.756049247884,55.9942462963647,0.786950589814815,199870,7.5,100,100,10.3680555555556,10.3680555555556,11.75
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,1729.18288831224,145.84955497891,179.218894682237,62.6821831605843,2.11137296180556,199952,6.94444444444444,100,100,10.375,10.375,12.9166666666667
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,1715.02706809958,131.69373476625,155.610515141571,56.6463528088723,0.824041880787037,199860,6.38888888888889,100,100,10.5291666666667,10.5291666666667,10.5
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,1721.22293383302,137.889600499686,184.458613252487,54.4217552559473,0.824145469560185,199860,5.55555555555556,100,100,10.6277777777778,10.6277777777778,11.25
