Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,1,1,30/0/0
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,2,1,15/0/15
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,4,1,10/0/20
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,6,1,8/0/22
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,7,1,2/0/28
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,8,1,0/0/30
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,9,1,3/1/26
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,10,1,3/0/27
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,11,1,17/0/13
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,12,1,3/0/27
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,1,1,18/0/12
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,2,1,15/0/15
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,3,1,16/0/14
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,4,1,21/0/9
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,5,1,15/0/15
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,6,1,11/0/19
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,7,1,9/0/21
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,8,1,16/0/14
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,9,1,12/1/17
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,10,1,14/0/16
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,11,1,12/0/18
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,12,1,14/0/16
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,1,1,30/0/0
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,2,1,17/0/13
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,3,1,0/0/30
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,4,1,6/0/24
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,5,1,0/0/30
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,6,1,6/0/24
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,7,1,3/0/27
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,8,1,0/0/30
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,9,1,6/1/23
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,10,1,5/0/25
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,11,1,19/0/11
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,12,1,3/0/27
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,1,1,12/9/9
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,2,1,13/0/17
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,3,1,14/1/15
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,4,1,14/6/10
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,5,1,15/0/15
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,6,1,13/0/17
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,7,1,15/0/15
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,8,1,16/0/14
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,9,1,13/2/15
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,10,1,17/1/12
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,11,1,13/0/17
