Domain,Anchor,Competitor,Role,FunctionWinsAnchor,FunctionTies,FunctionLossesAnchor,AnchorAvgRank,CompetitorAvgRank,FriedmanPostHocRawP,FriedmanPostHocHolmP,RejectFriedmanHolm,SignificantInstancesAnchor,SignificantInstancesCompetitor
CEC2022_SENSITIVITY,B-C1,RB-C1,RANDOM,11,0,1,3.16666666666667,11,0.000144856864023951,0.00159342550426346,1,7,1
CEC2022_SENSITIVITY,B-C1,B-C2,SARSA,8,0,4,3.16666666666667,4.66666666666667,0.466854270822725,1,0,0,0
CEC2022_SENSITIVITY,B-C1,RB-C2,RANDOM,11,0,1,3.16666666666667,9.75,0.00140614977875408,0.00703074889377042,1,8,1
CEC2022_SENSITIVITY,B-C1,B-C3,SARSA,8,0,4,3.16666666666667,3.91666666666667,0.716004795504331,1,0,0,0
CEC2022_SENSITIVITY,B-C1,RB-C3,RANDOM,11,0,1,3.16666666666667,11,0.000144856864023951,0.00159342550426346,1,7,1
CEC2022_SENSITIVITY,B-C1,B-C4,SARSA,8,0,4,3.16666666666667,4.33333333333333,0.571450572704999,1,0,0,0
CEC2022_SENSITIVITY,B-C1,RB-C4,RANDOM,11,0,1,3.16666666666667,11.25,8.81849695076422e-05,0.00114640460359935,1,7,0
CEC2022_SENSITIVITY,B-C1,A-C1,SARSA,11,0,1,3.16666666666667,10.0833333333333,0.000793431411857207,0.00476058847114324,1,7,1
CEC2022_SENSITIVITY,B-C1,RA-C1,RANDOM,12,0,0,3.16666666666667,11.75,3.13367261262231e-05,0.000470050891893346,1,8,0
CEC2022_SENSITIVITY,B-C1,A-C2,SARSA,11,0,1,3.16666666666667,11.1666666666667,0.000104211945158089,0.00125054334189707,1,7,1
CEC2022_SENSITIVITY,B-C1,RA-C2,RANDOM,12,0,0,3.16666666666667,10.3333333333333,0.000508299923662356,0.00406639938929884,1,9,0
CEC2022_SENSITIVITY,B-C1,A-C3,SARSA,10,0,2,3.16666666666667,10.3333333333333,0.000508299923662356,0.00406639938929884,1,8,1
CEC2022_SENSITIVITY,B-C1,RA-C3,RANDOM,12,0,0,3.16666666666667,11.75,3.13367261262231e-05,0.000470050891893346,1,8,0
CEC2022_SENSITIVITY,B-C1,A-C4,SARSA,12,0,0,3.16666666666667,12.9166666666667,2.251347787483e-06,3.60215645997281e-05,1,9,0
CEC2022_SENSITIVITY,B-C1,RA-C4,RANDOM,12,0,0,3.16666666666667,10.5,0.000374844233867734,0.00337359810480961,1,8,0
CEC2022_SENSITIVITY,B-C1,MPHB,BASELINE,6,0,6,3.16666666666667,5.08333333333333,0.352516130347291,1,0,4,0
