Instance,B_C1,RB_C1,B_C2,RB_C2,B_C3,RB_C3,B_C4,RB_C4,A_C1,RA_C1,A_C2,RA_C2,A_C3,RA_C3,A_C4,RA_C4,MPHB
1,11,1.5,9,4,10,1.5,8,7,3,16.5,6,15,5,16.5,13,12,14
2,2,15.5,13,17,8,15.5,7,11,3,9.5,5,14,1,9.5,12,4,6
3,1,12.5,3,11,2,12.5,4,14,7,9.5,6,16,8,9.5,15,17,5
4,5,7.5,1,14,4,7.5,2,9,15,11.5,13,6,16,11.5,17,10,3
5,2,8.5,5,7,3,8.5,4,10,16,12.5,14,6,15,12.5,17,11,1
6,2,12.5,4,11,3,12.5,5,16,8,9.5,14,17,15,9.5,6,7,1
7,2,14.5,5,10,3,14.5,4,16,12,7.5,11,6,9,7.5,17,13,1
8,2,13.5,1,10,3,13.5,4,6,8,16.5,15,7,9,16.5,11,12,5
9,4,13.5,2,8,3,13.5,1,7,5,15.5,11,10,9,15.5,12,6,17
10,1,9.5,3,6,2,9.5,4,16,11,12.5,7,15,8,12.5,17,14,5
11,2,14.5,5,12,3,14.5,8,11,16,9.5,17,6,13,9.5,4,7,1
12,4,8.5,5,7,3,8.5,1,12,17,10.5,15,6,16,10.5,14,13,2
