Case,Statistic,AS_C1,AR_C1,R_best,MPHB,HBA,MPA
C1,mean,5.739e-03,5.433e-03,5.155e-03,1.356e-02,1.782e-02,1.018e-02
,std,1.704e-03,8.048e-04,6.102e-04,7.689e-03,2.466e-02,4.412e-03
,rank,3.000,2.000,1.000,5.000,6.000,4.000
C2,mean,2.147e-02,2.068e-02,2.101e-02,3.448e-02,4.034e-02,2.952e-02
,std,2.619e-03,2.526e-03,2.175e-03,1.075e-02,3.096e-02,5.920e-03
,rank,3.000,1.000,2.000,5.000,6.000,4.000
C3,mean,5.157e-03,5.303e-03,5.339e-03,1.333e-02,1.777e-02,1.186e-02
,std,6.868e-04,9.921e-04,1.049e-03,5.430e-03,1.709e-02,6.811e-03
,rank,1.000,2.000,3.000,5.000,6.000,4.000
C4,mean,2.149e-02,2.180e-02,2.131e-02,3.379e-02,4.389e-02,2.901e-02
,std,2.036e-03,2.981e-03,2.216e-03,1.113e-02,3.166e-02,7.167e-03
,rank,2.000,3.000,1.000,5.000,6.000,4.000
C5,mean,1.760e-03,2.028e-03,1.822e-03,6.874e-03,1.233e-02,5.217e-03
,std,6.678e-04,7.823e-04,7.081e-04,3.863e-03,1.637e-02,3.509e-03
,rank,1.000,3.000,2.000,5.000,6.000,4.000
C6,mean,6.668e-03,6.979e-03,6.663e-03,1.235e-02,1.157e-02,9.987e-03
,std,1.672e-03,1.534e-03,1.651e-03,5.179e-03,4.373e-03,3.866e-03
,rank,2.000,3.000,1.000,6.000,5.000,4.000
C7,mean,1.632e-03,2.271e-03,1.775e-03,8.587e-03,7.697e-03,8.943e-03
,std,8.330e-04,1.484e-03,1.237e-03,6.302e-03,8.204e-03,8.669e-03
,rank,1.000,3.000,2.000,5.000,4.000,6.000
C8,mean,3.602e-03,4.819e-03,4.473e-03,9.224e-03,2.379e-02,7.485e-03
,std,1.131e-03,2.598e-03,2.343e-03,3.131e-03,2.381e-02,2.647e-03
,rank,1.000,3.000,2.000,5.000,6.000,4.000
AvgRank,rank,1.750,2.500,1.750,5.125,5.625,4.250
