Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,1,1,12/0/18
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,2,1,17/0/13
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,3,1,15/0/15
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,4,1,16/0/14
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,5,1,12/0/18
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,6,1,12/0/18
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,7,1,11/0/19
AR-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,8,1,11/0/19
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,1,1,17/0/13
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,2,1,17/0/13
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,3,1,16/0/14
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,4,1,15/0/15
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,5,1,14/0/16
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,6,1,17/0/13
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,7,1,15/0/15
R-best,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,8,1,13/0/17
MPHB,MPHB_BASE,MPHB,BASELINE,1,1,2/0/28
MPHB,MPHB_BASE,MPHB,BASELINE,2,1,1/0/29
MPHB,MPHB_BASE,MPHB,BASELINE,3,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,4,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,5,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,6,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,7,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,8,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,1,1,4/0/26
HBA,HBA_BASE,HBA_BASE,PARENT,2,1,3/0/27
HBA,HBA_BASE,HBA_BASE,PARENT,3,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,4,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,5,1,3/0/27
HBA,HBA_BASE,HBA_BASE,PARENT,6,1,4/0/26
HBA,HBA_BASE,HBA_BASE,PARENT,7,1,5/0/25
HBA,HBA_BASE,HBA_BASE,PARENT,8,1,1/0/29
MPA,MPA_BASE,MPA_BASE,PARENT,1,1,3/0/27
MPA,MPA_BASE,MPA_BASE,PARENT,2,1,2/0/28
MPA,MPA_BASE,MPA_BASE,PARENT,3,1,2/0/28
MPA,MPA_BASE,MPA_BASE,PARENT,4,1,4/0/26
MPA,MPA_BASE,MPA_BASE,PARENT,5,1,1/0/29
MPA,MPA_BASE,MPA_BASE,PARENT,6,1,8/0/22
MPA,MPA_BASE,MPA_BASE,PARENT,7,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,8,1,1/0/29
