Alias,PairID,CFG_ID,Algorithm,Family,Role,Label,K,Ni,gamma,w_best,rho_sub,fad_before_p2,fad_after_p2,T,EstimatedFEs
A-C1,PROPOSED,C1,FIR_PROPOSED_MPHBS_C1_K03_Ni09_AFTER_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,proposed_mphbs,3,9,0.3,0.05,0.25,0,1,919,149857
MPHB,BASE,BASE,MPHB_BASE,MPHB,BASELINE,baseline,NaN,NaN,NaN,NaN,NaN,0,0,1666,150000
HBA,HBA,HBA,HBA_BASE,HBA_BASE,PARENT,parent_hba,NaN,NaN,NaN,NaN,NaN,0,0,4999,150000
MPA,MPA,MPA,MPA_BASE,MPA_BASE,PARENT,parent_mpa,NaN,NaN,NaN,NaN,NaN,0,0,2500,150000
EODE,EODE,EODE,EODE_BASE,EODE_BASE,EXTERNAL,external_eode,NaN,NaN,NaN,NaN,NaN,0,0,4999,150000
RLTLBO,RLTLBO,RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,external_rltlbo,NaN,NaN,NaN,NaN,NaN,0,0,1000,150000
QQLMPA,QQLMPA,QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,external_qqlmpa,NaN,NaN,NaN,NaN,NaN,0,0,1250,150000
GWO,GWO,GWO,GWO_BASE,GWO_BASE,EXTERNAL,external_gwo,NaN,NaN,NaN,NaN,NaN,0,0,5000,150000
FDB-TLABC,FDB_TLABC,FDB_TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,external_fdb_tlabc,NaN,NaN,NaN,NaN,NaN,0,0,NaN,150000
FTO,FTO,FTO,FTO_BASE,FTO_BASE,EXTERNAL,external_fto,NaN,NaN,NaN,NaN,NaN,0,0,126,149718
