Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
MPHB,MPHB_BASE,MPHB,BASELINE,1,1,2/0/28
MPHB,MPHB_BASE,MPHB,BASELINE,2,1,1/0/29
MPHB,MPHB_BASE,MPHB,BASELINE,3,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,4,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,5,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,6,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,7,1,0/0/30
MPHB,MPHB_BASE,MPHB,BASELINE,8,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,1,1,4/0/26
HBA,HBA_BASE,HBA_BASE,PARENT,2,1,3/0/27
HBA,HBA_BASE,HBA_BASE,PARENT,3,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,4,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,5,1,3/0/27
HBA,HBA_BASE,HBA_BASE,PARENT,6,1,4/0/26
HBA,HBA_BASE,HBA_BASE,PARENT,7,1,5/0/25
HBA,HBA_BASE,HBA_BASE,PARENT,8,1,1/0/29
MPA,MPA_BASE,MPA_BASE,PARENT,1,1,3/0/27
MPA,MPA_BASE,MPA_BASE,PARENT,2,1,2/0/28
MPA,MPA_BASE,MPA_BASE,PARENT,3,1,2/0/28
MPA,MPA_BASE,MPA_BASE,PARENT,4,1,4/0/26
MPA,MPA_BASE,MPA_BASE,PARENT,5,1,1/0/29
MPA,MPA_BASE,MPA_BASE,PARENT,6,1,8/0/22
MPA,MPA_BASE,MPA_BASE,PARENT,7,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,8,1,1/0/29
EODE,EODE_BASE,EODE_BASE,EXTERNAL,1,1,12/0/18
EODE,EODE_BASE,EODE_BASE,EXTERNAL,2,1,12/0/18
EODE,EODE_BASE,EODE_BASE,EXTERNAL,3,1,9/0/21
EODE,EODE_BASE,EODE_BASE,EXTERNAL,4,1,3/0/27
EODE,EODE_BASE,EODE_BASE,EXTERNAL,5,1,4/0/26
EODE,EODE_BASE,EODE_BASE,EXTERNAL,6,1,8/0/22
EODE,EODE_BASE,EODE_BASE,EXTERNAL,7,1,1/0/29
EODE,EODE_BASE,EODE_BASE,EXTERNAL,8,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,1,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,2,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,3,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,4,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,5,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,6,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,7,1,0/0/30
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,8,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,1,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,2,1,1/0/29
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,3,1,1/0/29
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,4,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,5,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,6,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,7,1,0/0/30
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,8,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,1,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,2,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,3,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,4,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,5,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,6,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,7,1,0/0/30
GWO,GWO_BASE,GWO_BASE,EXTERNAL,8,1,0/0/30
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,1,1,1/0/29
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,2,1,1/0/29
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,3,1,0/0/30
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,4,1,1/0/29
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,5,1,0/0/30
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,6,1,1/0/29
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,7,1,0/0/30
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,8,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,1,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,2,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,3,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,4,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,5,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,6,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,7,1,0/0/30
FTO,FTO_BASE,FTO_BASE,EXTERNAL,8,1,0/0/30
