Alias,Algorithm,Family,Role,GlobalMeanFit,GlobalStdFit,GlobalMedianFit,GlobalMeanTimeSec,GlobalMeanFEs,ValidPct,CompletedPct,MeanRankRunCase,FriedmanMeanRank,AvgRankAll
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,0.00833511162011302,0.0075195721065117,0.00491458788499482,1.9645224984375,149828,100,100,6.91666666666667,6.91666666666667,4.75
A-C1,MPHBS_SARSA_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,0.00843940583009891,0.00787880982527047,0.00483519758108138,3.02395905850695,149857,100,100,7.08333333333333,7.08333333333333,4.75
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,0.00844267115027263,0.00769424443842488,0.00496158744972617,1.96349712760417,149828,100,100,7.33333333333333,7.33333333333333,3.75
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,0.00847796445921662,0.00760773738754377,0.00498034833848902,1.98814118489583,149944,100,100,7.4875,7.4875,4.625
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,0.00863788211006189,0.00777589210259556,0.00503708493811821,3.0215836859375,149857,100,100,7.80833333333333,7.80833333333333,6.375
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,0.00864281507484788,0.00762042336048445,0.0050717261500157,3.11036718072917,149872,100,100,8.1125,8.1125,6.375
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,0.00870761624479614,0.00770326176560316,0.00511273740300579,1.96135229114583,149828,100,100,8.25,8.25,8.75
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,0.00870761624479614,0.00770326176560316,0.00511273740300579,1.96345723211806,149828,100,100,8.25,8.25,8.75
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,0.00888225992378561,0.00778309731848417,0.00520675865487299,1.98846617065972,149944,100,100,8.275,8.275,10
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,0.00866441645177526,0.00767327506444459,0.00515150612381012,1.96374555885417,149828,100,100,8.33333333333333,8.33333333333333,7.75
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,0.00866441645177526,0.00767327506444459,0.00515150612381012,1.966174696875,149828,100,100,8.33333333333333,8.33333333333333,7.75
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,0.00875782106847855,0.00794222013645097,0.00522197124840495,3.02716857239583,149857,100,100,8.3625,8.3625,7.625
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,0.00932495903090272,0.00796864649675335,0.00574278637474536,3.02535514288194,149857,100,100,10.0291666666667,10.0291666666667,12.125
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,0.00952527360603563,0.0078113431170361,0.00611646220440177,3.02686722517361,149857,100,100,10.4458333333333,10.4458333333333,13.25
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,0.00974806257254669,0.00832602938548278,0.00556131605225942,3.11282383177083,149872,100,100,10.8916666666667,10.8916666666667,14.125
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,0.00977008663844647,0.00807558459971505,0.00620570386434932,3.02821743854167,149857,100,100,10.9375,10.9375,15.25
MPHB,MPHB_BASE,MPHB,BASELINE,0.0165257050305938,0.012634836623375,0.0118294140638869,1.68689132899306,150000,100,100,16.15,16.15,17
