Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,1,9,11/0/19
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,2,9,9/0/21
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,3,9,7/0/23
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,4,9,15/0/15
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,5,9,10/0/20
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,6,9,13/0/17
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,7,9,10/0/20
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,8,9,5/0/25
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,1,9,14/0/16
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,2,9,16/0/14
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,3,9,9/0/21
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,4,9,15/0/15
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,5,9,11/0/19
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,6,9,13/0/17
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,7,9,6/0/24
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,8,9,6/0/24
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,1,9,8/0/22
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,2,9,10/0/20
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,3,9,9/0/21
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,4,9,12/0/18
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,5,9,9/0/21
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,6,9,13/0/17
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,7,9,7/0/23
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,8,9,5/0/25
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,1,9,17/0/13
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,2,9,17/0/13
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,3,9,16/0/14
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,4,9,15/0/15
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,5,9,14/0/16
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,6,9,17/0/13
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,7,9,15/0/15
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,8,9,13/0/17
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,1,9,11/0/19
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,2,9,10/0/20
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,3,9,8/0/22
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,4,9,16/0/14
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,5,9,9/0/21
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,6,9,8/0/22
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,7,9,8/0/22
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,8,9,3/0/27
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,1,9,14/0/16
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,2,9,16/0/14
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,3,9,9/0/21
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,4,9,15/0/15
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,5,9,11/0/19
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,6,9,13/0/17
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,7,9,6/0/24
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,8,9,6/0/24
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,1,9,13/0/17
