Alias,Algorithm,Family,Role,WTL_Global,AnchorIndex
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,80/0/160,9
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,90/0/150,9
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,73/0/167,9
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,124/0/116,9
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,73/0/167,9
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,90/0/150,9
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,72/0/168,9
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,111/0/129,9
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,106/0/134,9
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,94/0/146,9
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,130/0/110,9
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,106/0/134,9
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,106/0/134,9
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,101/0/139,9
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,100/0/140,9
MPHB,MPHB_BASE,MPHB,BASELINE,4/0/236,9
