Domain,Anchor,Competitor,Role,FunctionWinsAnchor,FunctionTies,FunctionLossesAnchor,AnchorAvgRank,CompetitorAvgRank,FriedmanPostHocRawP,FriedmanPostHocHolmP,RejectFriedmanHolm,SignificantInstancesAnchor,SignificantInstancesCompetitor
FIR_SENSITIVITY,A-C1,B-C1,SARSA,8,0,0,4.75,12.125,0.0034898234723606,0.0418778816683272,1,1,0
FIR_SENSITIVITY,A-C1,RB-C1,RANDOM,5,0,3,4.75,8.75,0.113140008152006,1,0,0,0
FIR_SENSITIVITY,A-C1,B-C2,SARSA,8,0,0,4.75,15.25,3.20176467840375e-05,0.000480264701760563,1,2,0
FIR_SENSITIVITY,A-C1,RB-C2,RANDOM,4,0,4,4.75,3.75,0.692061490935938,1,0,0,0
FIR_SENSITIVITY,A-C1,B-C3,SARSA,8,0,0,4.75,13.25,0.000761281278454928,0.00989665661991407,1,1,0
FIR_SENSITIVITY,A-C1,RB-C3,RANDOM,5,0,3,4.75,8.75,0.113140008152006,1,0,0,0
FIR_SENSITIVITY,A-C1,B-C4,SARSA,8,0,0,4.75,14.125,0.00020477375114576,0.00286683251604064,1,1,0
FIR_SENSITIVITY,A-C1,RB-C4,RANDOM,5,0,3,4.75,4.625,0.960514958296063,1,0,0,0
FIR_SENSITIVITY,A-C1,RA-C1,RANDOM,6,0,2,4.75,7.75,0.234763662827669,1,0,0,0
FIR_SENSITIVITY,A-C1,A-C2,SARSA,6,0,2,4.75,7.625,0.254840955804296,1,0,1,0
FIR_SENSITIVITY,A-C1,RA-C2,RANDOM,4,0,4,4.75,4.75,1,1,0,0,0
FIR_SENSITIVITY,A-C1,A-C3,SARSA,6,0,2,4.75,6.375,0.519837507716868,1,0,0,0
FIR_SENSITIVITY,A-C1,RA-C3,RANDOM,6,0,2,4.75,7.75,0.234763662827669,1,0,0,0
FIR_SENSITIVITY,A-C1,A-C4,SARSA,5,0,3,4.75,6.375,0.519837507716868,1,0,0,0
FIR_SENSITIVITY,A-C1,RA-C4,RANDOM,6,0,2,4.75,10,0.0375888812610744,0.413477693871818,0,0,0
FIR_SENSITIVITY,A-C1,MPHB,BASELINE,8,0,0,4.75,17,1.22393512112191e-06,1.95829619379506e-05,1,8,0
