Domain,Instance,Anchor,Competitor,NPairs,WinsAnchor,Ties,LossesAnchor,MeanAnchor,MeanCompetitor,MedianAnchor,MedianCompetitor,RawP,HolmDomainP,RejectHolmDomain
FIR_SENSITIVITY,1,A-C1,B-C1,30,19,0,11,0.00573886257758604,0.00617768832604047,0.00498952913244555,0.00583058116001981,0.147039578643453,1,0
FIR_SENSITIVITY,2,A-C1,B-C1,30,21,0,9,0.0214703206426058,0.0229796944478928,0.0212255856753455,0.0225864456434473,0.0218267215960227,1,0
FIR_SENSITIVITY,3,A-C1,B-C1,30,23,0,7,0.00515681436015733,0.00572757005649372,0.00507530405141678,0.0053124777013813,0.00683585642530123,0.704093211806027,0
FIR_SENSITIVITY,4,A-C1,B-C1,30,15,0,15,0.0214869065664112,0.0218141742830509,0.0219018038370187,0.022100622337148,0.734325291439128,1,0
FIR_SENSITIVITY,5,A-C1,B-C1,30,20,0,10,0.00176046133194598,0.00259669856112235,0.00147259608567057,0.00221869241102967,0.00821673645759044,0.829890382216634,0
FIR_SENSITIVITY,6,A-C1,B-C1,30,17,0,13,0.00666755992175006,0.00687724661297339,0.00693271280085514,0.0072011575714923,0.861212519735838,1,0
FIR_SENSITIVITY,7,A-C1,B-C1,30,20,0,10,0.00163243470126284,0.00236613930792842,0.00142176382268058,0.00188984652668929,0.0300098913130808,1,0
FIR_SENSITIVITY,8,A-C1,B-C1,30,25,0,5,0.00360188653907194,0.00606046065171973,0.00324255144809555,0.005169339975795,2.84342377460319e-05,0.00335524005403176,1
FIR_SENSITIVITY,1,A-C1,RB-C1,30,16,0,14,0.00573886257758604,0.00512137777898945,0.00498952913244555,0.00491436490273204,0.318490602578217,1,0
FIR_SENSITIVITY,2,A-C1,RB-C1,30,14,0,16,0.0214703206426058,0.021461642363498,0.0212255856753455,0.0211948654254467,0.975387164176336,1,0
FIR_SENSITIVITY,3,A-C1,RB-C1,30,21,0,9,0.00515681436015733,0.00535169423891034,0.00507530405141678,0.00519706478970515,0.102010695249989,1,0
FIR_SENSITIVITY,4,A-C1,RB-C1,30,15,0,15,0.0214869065664112,0.0213301309422899,0.0219018038370187,0.0220458267343297,0.76551929190161,1,0
FIR_SENSITIVITY,5,A-C1,RB-C1,30,19,0,11,0.00176046133194598,0.00202994952775979,0.00147259608567057,0.00173315877840022,0.198610209945546,1,0
FIR_SENSITIVITY,6,A-C1,RB-C1,30,17,0,13,0.00666755992175006,0.00715090195960182,0.00693271280085514,0.00835017464884295,0.236936186616831,1,0
FIR_SENSITIVITY,7,A-C1,RB-C1,30,24,0,6,0.00163243470126284,0.00253942184202225,0.00142176382268058,0.00196924646430496,0.00872966775360229,0.872966775360229,0
FIR_SENSITIVITY,8,A-C1,RB-C1,30,24,0,6,0.00360188653907194,0.00467581130529755,0.00324255144809555,0.00400525817721705,0.00170877319514654,0.187965051466119,0
FIR_SENSITIVITY,1,A-C1,B-C2,30,22,0,8,0.00573886257758604,0.00648157839266863,0.00498952913244555,0.00632506625492204,0.0206711135669123,1,0
FIR_SENSITIVITY,2,A-C1,B-C2,30,20,0,10,0.0214703206426058,0.0231826615235671,0.0212255856753455,0.0229846617941391,0.033268897067405,1,0
FIR_SENSITIVITY,3,A-C1,B-C2,30,21,0,9,0.00515681436015733,0.00661005317708134,0.00507530405141678,0.00652741558925576,0.000962658929065913,0.108780458984448,0
FIR_SENSITIVITY,4,A-C1,B-C2,30,18,0,12,0.0214869065664112,0.0225711265919433,0.0219018038370187,0.0225320914952459,0.165026565624696,1,0
FIR_SENSITIVITY,5,A-C1,B-C2,30,21,0,9,0.00176046133194598,0.00341036936015297,0.00147259608567057,0.00280694750573027,0.00103568130354587,0.115996305997138,0
FIR_SENSITIVITY,6,A-C1,B-C2,30,17,0,13,0.00666755992175006,0.00716450044994452,0.00693271280085514,0.00640059648108393,0.557742686203924,1,0
FIR_SENSITIVITY,7,A-C1,B-C2,30,23,0,7,0.00163243470126284,0.00282710174177322,0.00142176382268058,0.00277504288115886,0.000125056804333168,0.0145065893026475,1
FIR_SENSITIVITY,8,A-C1,B-C2,30,25,0,5,0.00360188653907194,0.00591330187044072,0.00324255144809555,0.00487396320845011,0.000261343092266716,0.0300544556106723,1
FIR_SENSITIVITY,1,A-C1,RB-C2,30,13,0,17,0.00573886257758604,0.00515455005611721,0.00498952913244555,0.0050240042779026,0.26229871911949,1,0
FIR_SENSITIVITY,2,A-C1,RB-C2,30,13,0,17,0.0214703206426058,0.0210076681314513,0.0212255856753455,0.0214997777159248,0.36003882945885,1,0
FIR_SENSITIVITY,3,A-C1,RB-C2,30,14,0,16,0.00515681436015733,0.00533943620399306,0.00507530405141678,0.0048836297948092,0.926255087307612,1,0
FIR_SENSITIVITY,4,A-C1,RB-C2,30,15,0,15,0.0214869065664112,0.0213059206168237,0.0219018038370187,0.0217206862550293,0.673279806523305,1,0
FIR_SENSITIVITY,5,A-C1,RB-C2,30,16,0,14,0.00176046133194598,0.00182240960129562,0.00147259608567057,0.00166051461768911,0.942610512457651,1,0
FIR_SENSITIVITY,6,A-C1,RB-C2,30,13,0,17,0.00666755992175006,0.00666338691694222,0.00693271280085514,0.00692130978242727,0.734325291439128,1,0
FIR_SENSITIVITY,7,A-C1,RB-C2,30,15,0,15,0.00163243470126284,0.00177529315529672,0.00142176382268058,0.00151108024182152,0.958990172136891,1,0
FIR_SENSITIVITY,8,A-C1,RB-C2,30,17,0,13,0.00360188653907194,0.00447270452026128,0.00324255144809555,0.00347113318049609,0.125438239029808,1,0
FIR_SENSITIVITY,1,A-C1,B-C3,30,19,0,11,0.00573886257758604,0.00588644046274053,0.00498952913244555,0.00532951258597718,0.271155197708832,1,0
FIR_SENSITIVITY,2,A-C1,B-C3,30,20,0,10,0.0214703206426058,0.022657880417745,0.0212255856753455,0.0225862162503458,0.0977721901049929,1,0
FIR_SENSITIVITY,3,A-C1,B-C3,30,22,0,8,0.00515681436015733,0.00623288097849537,0.00507530405141678,0.00583778696312824,0.00138203585743999,0.153405980175839,0
FIR_SENSITIVITY,4,A-C1,B-C3,30,14,0,16,0.0214869065664112,0.0216634122627373,0.0219018038370187,0.0215833580876867,0.942610512457651,1,0
FIR_SENSITIVITY,5,A-C1,B-C3,30,21,0,9,0.00176046133194598,0.00275693615983042,0.00147259608567057,0.00221031332667899,0.00727104969104621,0.741647068486714,0
FIR_SENSITIVITY,6,A-C1,B-C3,30,22,0,8,0.00666755992175006,0.00713012058587797,0.00693271280085514,0.00727803451965008,0.115608187623984,1,0
FIR_SENSITIVITY,7,A-C1,B-C3,30,22,0,8,0.00163243470126284,0.0027790519609783,0.00142176382268058,0.0021062774621402,0.00927102517202592,0.90856046685854,0
FIR_SENSITIVITY,8,A-C1,B-C3,30,27,0,3,0.00360188653907194,0.00709546601988019,0.00324255144809555,0.00672459597518229,9.31565859110517e-06,0.00111787903093262,1
FIR_SENSITIVITY,1,A-C1,RB-C3,30,16,0,14,0.00573886257758604,0.00512137777898945,0.00498952913244555,0.00491436490273204,0.318490602578217,1,0
FIR_SENSITIVITY,2,A-C1,RB-C3,30,14,0,16,0.0214703206426058,0.021461642363498,0.0212255856753455,0.0211948654254467,0.975387164176336,1,0
FIR_SENSITIVITY,3,A-C1,RB-C3,30,21,0,9,0.00515681436015733,0.00535169423891034,0.00507530405141678,0.00519706478970515,0.102010695249989,1,0
FIR_SENSITIVITY,4,A-C1,RB-C3,30,15,0,15,0.0214869065664112,0.0213301309422899,0.0219018038370187,0.0220458267343297,0.76551929190161,1,0
FIR_SENSITIVITY,5,A-C1,RB-C3,30,19,0,11,0.00176046133194598,0.00202994952775979,0.00147259608567057,0.00173315877840022,0.198610209945546,1,0
FIR_SENSITIVITY,6,A-C1,RB-C3,30,17,0,13,0.00666755992175006,0.00715090195960182,0.00693271280085514,0.00835017464884295,0.236936186616831,1,0
FIR_SENSITIVITY,7,A-C1,RB-C3,30,24,0,6,0.00163243470126284,0.00253942184202225,0.00142176382268058,0.00196924646430496,0.00872966775360229,0.872966775360229,0
FIR_SENSITIVITY,8,A-C1,RB-C3,30,24,0,6,0.00360188653907194,0.00467581130529755,0.00324255144809555,0.00400525817721705,0.00170877319514654,0.187965051466119,0
FIR_SENSITIVITY,1,A-C1,B-C4,30,17,0,13,0.00573886257758604,0.00591259995249918,0.00498952913244555,0.00520409389513848,0.909930768158735,1,0
FIR_SENSITIVITY,2,A-C1,B-C4,30,18,0,12,0.0214703206426058,0.0226695353020625,0.0212255856753455,0.0222790950681188,0.110925665125531,1,0
FIR_SENSITIVITY,3,A-C1,B-C4,30,19,0,11,0.00515681436015733,0.00598384964069501,0.00507530405141678,0.00520934455773928,0.0407023114262778,1,0
FIR_SENSITIVITY,4,A-C1,B-C4,30,22,0,8,0.0214869065664112,0.0239990114226266,0.0219018038370187,0.0228857250310529,0.00170877319514654,0.187965051466119,0
FIR_SENSITIVITY,5,A-C1,B-C4,30,20,0,10,0.00176046133194598,0.00307331744850837,0.00147259608567057,0.00227327244680308,0.00276527419699164,0.293119064881114,0
FIR_SENSITIVITY,6,A-C1,B-C4,30,21,0,9,0.00666755992175006,0.00703805309042381,0.00693271280085514,0.00682837147710371,0.152860694079702,1,0
FIR_SENSITIVITY,7,A-C1,B-C4,30,24,0,6,0.00163243470126284,0.00313193806545817,0.00142176382268058,0.00238204563739516,0.000489690070533265,0.0558246680407922,0
FIR_SENSITIVITY,8,A-C1,B-C4,30,27,0,3,0.00360188653907194,0.00617619565809993,0.00324255144809555,0.00523278220190129,1.02463278326177e-05,0.0012193130120815,1
